iter	Passed	Remaining
0	148	177985
1	161	96466
2	173	69144
3	185	55544
4	197	47261
5	209	41748
6	222	37840
7	226	33813
8	238	31589
9	250	29857
10	262	28382
11	274	27213
12	280	25596
13	292	24789
14	304	24066
15	309	22923
16	322	22408
17	334	21934
18	346	21528
19	358	21174
20	371	20842
21	383	20538
22	395	20259
23	408	19995
24	420	19745
25	432	19516
26	444	19302
27	456	19104
28	468	18910
29	480	18728
30	487	18392
31	493	17998
32	505	17883
33	517	17747
34	529	17611
35	541	17497
36	553	17388
37	565	17294
38	577	17179
39	589	17106
40	602	17019
41	614	16929
42	625	16829
43	637	16750
44	648	16652
45	660	16578
46	672	16505
47	684	16426
48	696	16361
49	708	16293
50	720	16224
51	732	16164
52	743	16099
53	756	16046
54	768	15993
55	779	15933
56	791	15876
57	803	15824
58	815	15769
59	827	15729
60	839	15682
61	852	15646
62	864	15599
63	876	15551
64	888	15521
65	900	15479
66	912	15430
67	924	15387
68	936	15344
69	947	15296
70	959	15255
71	970	15207
72	981	15158
73	994	15132
74	1006	15099
75	1018	15067
76	1030	15034
77	1042	14999
78	1053	14953
79	1065	14913
80	1076	14875
81	1088	14838
82	1100	14809
83	1112	14781
84	1124	14752
85	1136	14719
86	1147	14683
87	1159	14650
88	1170	14615
89	1182	14586
90	1194	14554
91	1205	14521
92	1217	14497
93	1229	14468
94	1241	14442
95	1252	14406
96	1264	14376
97	1276	14351
98	1287	14316
99	1298	14287
100	1310	14262
101	1322	14236
102	1333	14200
103	1345	14175
104	1357	14152
105	1368	14121
106	1380	14101
107	1393	14086
108	1405	14066
109	1416	14037
110	1427	14007
111	1438	13975
112	1449	13943
113	1461	13922
114	1473	13897
115	1485	13877
116	1497	13863
117	1508	13836
118	1520	13815
119	1532	13792
120	1544	13775
121	1557	13758
122	1567	13728
123	1579	13709
124	1591	13685
125	1602	13659
126	1614	13642
127	1626	13620
128	1638	13601
129	1649	13577
130	1661	13557
131	1674	13545
132	1686	13527
133	1697	13507
134	1708	13482
135	1720	13458
136	1731	13432
137	1743	13414
138	1754	13392
139	1766	13373
140	1778	13355
141	1790	13338
142	1802	13319
143	1814	13304
144	1826	13287
145	1838	13271
146	1850	13255
147	1863	13244
148	1874	13224
149	1886	13206
150	1897	13182
151	1910	13169
152	1922	13153
153	1934	13136
154	1946	13122
155	1957	13103
156	1970	13091
157	1982	13073
158	1993	13054
159	2005	13037
160	2017	13018
161	2029	13002
162	2040	12980
163	2046	12930
164	2059	12916
165	2071	12901
166	2083	12886
167	2095	12869
168	2107	12854
169	2119	12842
170	2131	12828
171	2144	12814
172	2156	12802
173	2168	12785
174	2179	12767
175	2191	12750
176	2202	12731
177	2214	12716
178	2226	12696
179	2237	12679
180	2249	12662
181	2260	12642
182	2272	12630
183	2284	12615
184	2296	12599
185	2308	12587
186	2320	12572
187	2332	12558
188	2343	12537
189	2355	12519
190	2367	12505
191	2380	12498
192	2392	12484
193	2403	12464
194	2416	12452
195	2427	12435
196	2438	12417
197	2450	12400
198	2462	12385
199	2474	12374
200	2486	12358
201	2498	12344
202	2510	12332
203	2522	12315
204	2533	12299
205	2545	12284
206	2557	12269
207	2568	12251
208	2580	12236
209	2592	12220
210	2604	12207
211	2616	12192
212	2627	12177
213	2640	12164
214	2652	12153
215	2664	12139
216	2675	12121
217	2687	12107
218	2699	12092
219	2711	12077
220	2723	12062
221	2734	12046
222	2745	12029
223	2757	12015
224	2769	11999
225	2781	11986
226	2793	11972
227	2805	11960
228	2817	11945
229	2829	11932
230	2841	11920
231	2853	11907
232	2865	11892
233	2877	11879
234	2889	11864
235	2901	11850
236	2913	11837
237	2924	11821
238	2936	11808
239	2948	11795
240	2961	11783
241	2972	11767
242	2984	11754
243	2996	11740
244	3007	11724
245	3019	11710
246	3031	11697
247	3043	11683
248	3055	11668
249	3066	11653
250	3078	11637
251	3089	11622
252	3102	11611
253	3114	11598
254	3126	11585
255	3137	11569
256	3150	11558
257	3161	11541
258	3173	11530
259	3185	11516
260	3198	11506
261	3210	11494
262	3222	11481
263	3234	11468
264	3246	11456
265	3259	11443
266	3270	11429
267	3282	11416
