optID,day_margin,daytoexpire,optiontype,Delta,strikeprice,spotprice,monthly dividend yield,RFR,Garch_Vol_RMS,moneyness,theoryprice,settleprice
10000001,269,0.736986301,0,0.537,3.5,3.62511,0.0294,0.001796,0.021634,1.035745714,0.05996,0.4008
10000001,270,0.739726027,0,0.511,3.5,3.53031,0.0294,0.001796,0.021634,1.00866,0.01031,0.362
10000001,274,0.750684932,0,0.531,3.5,3.58909,0.0294,0.001796,0.021634,1.025454286,0.03465,0.3954
10000001,275,0.753424658,0,0.55,3.5,3.63626,0.0294,0.001796,0.021634,1.038931429,0.06767,0.4026
10000002,259,0.709589041,0,0.522,3.6,3.71322,0.0287,0.001279,0.014017,1.03145,0.04536,0.3392
10000002,260,0.712328767,0,0.524,3.6,3.73453,0.0287,0.001279,0.014017,1.037369444,0.06364,0.35
10000002,261,0.715068493,0,0.5,3.6,3.67508,0.0287,0.001279,0.014017,1.020855556,0.01894,0.3166
10000002,262,0.717808219,0,0.505,3.6,3.68616,0.0294,0.001796,0.021634,1.023933333,0.03383,0.3296
10000002,263,0.720547945,0,0.505,3.6,3.67411,0.0294,0.001796,0.021634,1.020586111,0.02723,0.339
10000002,266,0.728767123,0,0.52,3.6,3.71006,0.0294,0.001796,0.021634,1.030572222,0.04849,0.3574
10000002,267,0.731506849,0,0.511,3.6,3.69805,0.0294,0.001796,0.021634,1.027236111,0.04039,0.3402
10000002,268,0.734246575,0,0.529,3.6,3.72252,0.0294,0.001796,0.021634,1.034033333,0.05716,0.3818
10000002,269,0.736986301,0,0.5,3.6,3.62511,0.0294,0.001796,0.021634,1.006975,0.00914,0.355
10000002,270,0.739726027,0,0.474,3.6,3.53031,0.0294,0.001796,0.021634,0.980641667,0.00037,0.3214
10000002,273,0.747945205,0,0.509,3.6,3.65322,0.0294,0.001796,0.021634,1.014783333,0.0174,0.3664
10000002,274,0.750684932,0,0.493,3.6,3.58909,0.0294,0.001796,0.021634,0.996969444,0.00325,0.3468
10000002,275,0.753424658,0,0.51,3.6,3.63626,0.0294,0.001796,0.021634,1.010072222,0.01182,0.3516
10000002,276,0.756164384,0,0.543,3.6,3.70968,0.0294,0.001796,0.021634,1.030466667,0.04674,0.4156
10000002,277,0.75890411,0,0.546,3.6,3.72784,0.0294,0.001796,0.021634,1.035511111,0.05959,0.405
10000002,319,0.873972603,0,0.522,3.6,3.68836,0.0265,0.002178,0.022042,1.024544444,0.03528,0.3134
10000003,205,0.561643836,0,0.512,3.7,3.84561,0.0291,0.001172,0.009879,1.039354054,0.08571,0.214
10000003,207,0.567123288,0,0.506,3.7,3.82932,0.0291,0.001172,0.009879,1.034951351,0.06916,0.204
10000003,210,0.575342466,0,0.511,3.7,3.82406,0.0291,0.001172,0.009879,1.03352973,0.06318,0.2108
10000003,235,0.643835616,0,0.499,3.7,3.82277,0.0287,0.001279,0.014017,1.033181081,0.05761,0.227
10000003,238,0.652054795,0,0.483,3.7,3.79697,0.0287,0.001279,0.014017,1.026208108,0.0356,0.2236
10000003,239,0.654794521,0,0.492,3.7,3.82975,0.0287,0.001279,0.014017,1.035067568,0.06292,0.2348
10000003,240,0.657534247,0,0.496,3.7,3.83938,0.0287,0.001279,0.014017,1.03767027,0.07156,0.2422
10000003,241,0.660273973,0,0.487,3.7,3.80805,0.0287,0.001279,0.014017,1.029202703,0.04366,0.2274
10000003,245,0.671232877,0,0.501,3.7,3.83949,0.0287,0.001279,0.014017,1.0377,0.07036,0.2704
10000003,246,0.673972603,0,0.493,3.7,3.80238,0.0287,0.001279,0.014017,1.02767027,0.03818,0.2712
10000003,247,0.676712329,0,0.493,3.7,3.79736,0.0287,0.001279,0.014017,1.026313514,0.03424,0.2672
10000003,248,0.679452055,0,0.497,3.7,3.8257,0.0287,0.001279,0.014017,1.033972973,0.05708,0.2756
10000003,249,0.682191781,0,0.477,3.7,3.75326,0.0287,0.001279,0.014017,1.014394595,0.01012,0.2528
10000003,252,0.690410959,0,0.494,3.7,3.76918,0.0287,0.001279,0.014017,1.018697297,0.01643,0.2924
10000003,253,0.693150685,0,0.507,3.7,3.79281,0.0287,0.001279,0.014017,1.025083784,0.03002,0.2996
10000003,254,0.695890411,0,0.504,3.7,3.78034,0.0287,0.001279,0.014017,1.021713514,0.02207,0.303
10000003,255,0.698630137,0,0.514,3.7,3.79802,0.0287,0.001279,0.014017,1.026491892,0.0333,0.3232
10000003,259,0.709589041,0,0.481,3.7,3.71322,0.0287,0.001279,0.014017,1.003572973,0.00179,0.2998
10000003,260,0.712328767,0,0.482,3.7,3.73453,0.0287,0.001279,0.014017,1.009332432,0.00465,0.304
10000003,261,0.715068493,0,0.458,3.7,3.67508,0.0287,0.001279,0.014017,0.993264865,0.0002,0.2744
10000003,262,0.717808219,0,0.465,3.7,3.68616,0.0294,0.001796,0.021634,0.996259459,0.00314,0.2914
10000003,263,0.720547945,0,0.465,3.7,3.67411,0.0294,0.001796,0.021634,0.993002703,0.00212,0.2966
10000003,266,0.728767123,0,0.48,3.7,3.71006,0.0294,0.001796,0.021634,1.002718919,0.00628,0.3134
10000003,267,0.731506849,0,0.471,3.7,3.69805,0.0294,0.001796,0.021634,0.999472973,0.00446,0.3014
10000003,268,0.734246575,0,0.491,3.7,3.72252,0.0294,0.001796,0.021634,1.006086486,0.00868,0.3376
10000003,269,0.736986301,0,0.462,3.7,3.62511,0.0294,0.001796,0.021634,0.979759459,0.00033,0.3116
10000003,273,0.747945205,0,0.472,3.7,3.65322,0.0294,0.001796,0.021634,0.987356757,0.00101,0.3254
10000003,274,0.750684932,0,0.457,3.7,3.58909,0.0294,0.001796,0.021634,0.970024324,7.00E-05,0.3078
10000003,275,0.753424658,0,0.472,3.7,3.63626,0.0294,0.001796,0.021634,0.982772973,0.00053,0.3124
10000003,276,0.756164384,0,0.507,3.7,3.70968,0.0294,0.001796,0.021634,1.002616216,0.00607,0.3698
10000003,277,0.75890411,0,0.508,3.7,3.72784,0.0294,0.001796,0.021634,1.007524324,0.00965,0.36
10000003,317,0.868493151,0,0.559,3.7,3.82853,0.0265,0.002178,0.022042,1.034737838,0.06059,0.352
10000003,318,0.871232877,0,0.544,3.7,3.78564,0.0265,0.002178,0.022042,1.023145946,0.03357,0.3426
10000003,319,0.873972603,0,0.476,3.7,3.68836,0.0265,0.002178,0.022042,0.996854054,0.00435,0.273
10000004,203,0.556164384,0,0.447,3.8,3.86702,0.0291,0.001172,0.009879,1.017636842,0.01527,0.1748
10000004,204,0.55890411,0,0.448,3.8,3.85663,0.0291,0.001172,0.009879,1.014902632,0.0097,0.1762
10000004,205,0.561643836,0,0.443,3.8,3.84561,0.0291,0.001172,0.009879,1.012002632,0.00549,0.1706
10000004,206,0.564383562,0,0.455,3.8,3.87277,0.0291,0.001172,0.009879,1.01915,0.0184,0.1728
10000004,207,0.567123288,0,0.435,3.8,3.82932,0.0291,0.001172,0.009879,1.007715789,0.00195,0.1632
10000004,210,0.575342466,0,0.442,3.8,3.82406,0.0291,0.001172,0.009879,1.006331579,0.00128,0.171
10000004,211,0.578082192,0,0.49,3.8,3.91379,0.0291,0.001172,0.009879,1.029944737,0.05151,0.1976
10000004,212,0.580821918,0,0.501,3.8,3.93522,0.0291,0.001172,0.009879,1.035584211,0.07191,0.1992
10000004,214,0.58630137,0,0.496,3.8,3.92291,0.0291,0.001172,0.009879,1.032344737,0.05938,0.2058
10000004,217,0.594520548,0,0.492,3.8,3.91282,0.0291,0.001172,0.009879,1.029689474,0.04894,0.203
10000004,218,0.597260274,0,0.499,3.8,3.92522,0.0291,0.001172,0.009879,1.032952632,0.06046,0.2122
10000004,225,0.616438356,0,0.511,3.8,3.92489,0.0291,0.001172,0.009879,1.032865789,0.05814,0.2356
10000004,226,0.619178082,0,0.518,3.8,3.93625,0.0291,0.001172,0.009879,1.035855263,0.06882,0.2534
10000004,232,0.635616438,0,0.51,3.8,3.91258,0.0287,0.001279,0.014017,1.029626316,0.04815,0.252
10000004,233,0.638356164,0,0.46,3.8,3.86703,0.0287,0.001279,0.014017,1.017639474,0.01693,0.2034
10000004,234,0.64109589,0,0.452,3.8,3.84915,0.0287,0.001279,0.014017,1.012934211,0.00949,0.1942
10000004,235,0.643835616,0,0.438,3.8,3.82277,0.0287,0.001279,0.014017,1.005992105,0.00329,0.186
10000004,238,0.652054795,0,0.425,3.8,3.79697,0.0287,0.001279,0.014017,0.999202632,0.00088,0.1848
10000004,239,0.654794521,0,0.435,3.8,3.82975,0.0287,0.001279,0.014017,1.007828947,0.00434,0.1954
10000004,240,0.657534247,0,0.438,3.8,3.83938,0.0287,0.001279,0.014017,1.010363158,0.00636,0.198
10000004,241,0.660273973,0,0.428,3.8,3.80805,0.0287,0.001279,0.014017,1.002118421,0.00156,0.1862
10000004,242,0.663013699,0,0.463,3.8,3.85346,0.0287,0.001279,0.014017,1.014068421,0.01044,0.2184
10000004,245,0.671232877,0,0.449,3.8,3.83949,0.0287,0.001279,0.014017,1.010392105,0.00618,0.2264
10000004,246,0.673972603,0,0.443,3.8,3.80238,0.0287,0.001279,0.014017,1.000626316,0.00113,0.228
10000004,247,0.676712329,0,0.442,3.8,3.79736,0.0287,0.001279,0.014017,0.999305263,0.00085,0.2242
10000004,248,0.679452055,0,0.447,3.8,3.8257,0.0287,0.001279,0.014017,1.006763158,0.00344,0.2312
10000004,249,0.682191781,0,0.425,3.8,3.75326,0.0287,0.001279,0.014017,0.9877,5.00E-05,0.2108
10000004,252,0.690410959,0,0.448,3.8,3.76918,0.0287,0.001279,0.014017,0.991889474,0.00015,0.25
10000004,253,0.693150685,0,0.46,3.8,3.79281,0.0287,0.001279,0.014017,0.998107895,0.00064,0.256
10000004,254,0.695890411,0,0.458,3.8,3.78034,0.0287,0.001279,0.014017,0.994826316,0.0003,0.2596
