optID,day_margin,daytoexpire,optiontype,Delta,strikeprice,spotprice,monthly dividend yield,RFR,Garch_Vol_RMS,moneyness,theoryprice,settleprice
10000003,270,0.739726027,0,0.437,3.7,3.53031,0.0294,0.001796,0.021634,0.954137838,0,0.2842
10000004,269,0.736986301,0,0.427,3.8,3.62511,0.0294,0.001796,0.021634,0.953976316,0,0.2758
10000004,270,0.739726027,0,0.403,3.8,3.53031,0.0294,0.001796,0.021634,0.929028947,0,0.2534
10000004,274,0.750684932,0,0.42,3.8,3.58909,0.0294,0.001796,0.021634,0.944497368,0,0.2698
10000004,275,0.753424658,0,0.435,3.8,3.63626,0.0294,0.001796,0.021634,0.956910526,0,0.2752
10000005,259,0.709589041,0,0.396,3.9,3.71322,0.0287,0.001279,0.014017,0.952107692,0,0.22
10000005,260,0.712328767,0,0.401,3.9,3.73453,0.0287,0.001279,0.014017,0.957571795,0,0.2292
10000005,261,0.715068493,0,0.376,3.9,3.67508,0.0287,0.001279,0.014017,0.942328205,0,0.2042
10000005,262,0.717808219,0,0.385,3.9,3.68616,0.0294,0.001796,0.021634,0.945169231,0,0.217
10000005,263,0.720547945,0,0.388,3.9,3.67411,0.0294,0.001796,0.021634,0.942079487,0,0.2266
10000005,266,0.728767123,0,0.403,3.9,3.71006,0.0294,0.001796,0.021634,0.951297436,0,0.2396
10000005,267,0.731506849,0,0.393,3.9,3.69805,0.0294,0.001796,0.021634,0.948217949,0,0.229
10000005,268,0.734246575,0,0.415,3.9,3.72252,0.0294,0.001796,0.021634,0.954492308,0,0.2588
10000005,269,0.736986301,0,0.392,3.9,3.62511,0.0294,0.001796,0.021634,0.929515385,0,0.2428
10000005,270,0.739726027,0,0.37,3.9,3.53031,0.0294,0.001796,0.021634,0.905207692,0,0.2236
10000005,273,0.747945205,0,0.402,3.9,3.65322,0.0294,0.001796,0.021634,0.936723077,0,0.2544
10000005,274,0.750684932,0,0.387,3.9,3.58909,0.0294,0.001796,0.021634,0.920279487,0,0.2406
10000005,275,0.753424658,0,0.4,3.9,3.63626,0.0294,0.001796,0.021634,0.932374359,0,0.2454
10000005,276,0.756164384,0,0.437,3.9,3.70968,0.0294,0.001796,0.021634,0.9512,0,0.2952
10000005,277,0.75890411,0,0.435,3.9,3.72784,0.0294,0.001796,0.021634,0.95585641,0,0.2832
10000005,319,0.873972603,0,0.393,3.9,3.68836,0.0265,0.002178,0.022042,0.945733333,0,0.2096
10000006,207,0.567123288,0,0.305,4,3.82932,0.0291,0.001172,0.009879,0.95733,0,0.0988
10000006,210,0.575342466,0,0.315,4,3.82406,0.0291,0.001172,0.009879,0.956015,0,0.1054
10000006,235,0.643835616,0,0.324,4,3.82277,0.0287,0.001279,0.014017,0.9556925,0,0.1218
10000006,238,0.652054795,0,0.319,4,3.79697,0.0287,0.001279,0.014017,0.9492425,0,0.124
10000006,239,0.654794521,0,0.33,4,3.82975,0.0287,0.001279,0.014017,0.9574375,0,0.1324
10000006,240,0.657534247,0,0.334,4,3.83938,0.0287,0.001279,0.014017,0.959845,0,0.1356
10000006,241,0.660273973,0,0.322,4,3.80805,0.0287,0.001279,0.014017,0.9520125,0,0.125
10000006,245,0.671232877,0,0.349,4,3.83949,0.0287,0.001279,0.014017,0.9598725,0,0.155
10000006,246,0.673972603,0,0.347,4,3.80238,0.0287,0.001279,0.014017,0.950595,0,0.1584
10000006,247,0.676712329,0,0.344,4,3.79736,0.0287,0.001279,0.014017,0.94934,0,0.1548
10000006,248,0.679452055,0,0.351,4,3.8257,0.0287,0.001279,0.014017,0.956425,0,0.1618
10000006,249,0.682191781,0,0.33,4,3.75326,0.0287,0.001279,0.014017,0.938315,0,0.146
